Irish,English
an,the
bí,be
ar,on
agus,and
is,is
ag,at
le,with
na,the
do,for
go,to
de,of
sé,he
sin,that
ó,from
é,it
seo,this
cuir,add
mar,as
ach,but
déan,do
faoi,about
nó,or
duine,a person
tabhair,give
féin,himself
ní,no
aon,any
as,off
chun,to
eile,another
abair,say
mé,me
tar,come
cuid,some
maith,good
faigh,get
sí,she
ná,don't
bliain,year
siad,they
téigh,go
nuair,when
iad,them
amach,out
mo,my
cé,who
nach,not
bain,remove
ceann,one
gach,each
tú,you
rud,thing
í,her
caith,throw
Gaeilge,Irish
trí,through
gan,without
féidir,possible
lá,day
chomh,so
fear,man
isteach,in
fad,length
áit,place
beag,little
am,time
chuig,to
Éire,Ireland
obair,work
céad,a hundred
amháin,only
taobh,side
anois,now
céile,spouse
mac,son
feic,see
níos,more
má,if
teach,a house
ceart,right
gur,that
idir,between
scéal,story
tír,country
saol,life
bith,be
roimh,before
féad,can
ceist,question
ansin,then
deireadh,end
bean,a woman
dóigh,like
dá,two
fios,know
uair,once
alt,article
te,warm
pobal,community
comhairle,advice
éirigh,succeeded
I,I
aghaidh,face
céanna,same
arsa,said
súil,hope
scoil,school
síos,down
fág,leave
nua,new
glac,accept
roinn,department
arís,again
maidir,regarding
teanga,language
cás,case
úsáid,use
leith,respect
iarr,ask
tóg,take
óg,young
níor,no
anseo,here
thar,over
tuig,understand
oíche,night
aire,attention
baile,home
cad,what
lucht,charge
cúrsa,course
eolas,information
imigh,go away
méid,size
leor,enough
lean,follow
fada,long
caint,talk
leabhar,book
scríobh,write
acht,act
seachtain,a week
feidhm,function
lámh,hand
ceap,think
tarlaigh,happen
ais,back
mí,month
léir,clear
áirigh,include
ábhar,material
féach,see
bealach,way
ard,high
páiste,a child
muintir,people
airgead,money
béal,mouth
freisin,too
bord,board
rialtas,government
uile,all
siúil,walk
bunaigh,establish
gabh,catch
diaidh,after
stát,state
ainm,name
suas,up
athair,father
dia,god
fós,yet
ár,our
ea,yes
seirbhís,service
éigin,some
clár,program
talamh,land
buail,hit
riamh,ever
muid,we
focal,word
tús,start
mise,me
beirt,two people
fiú,even
linn,with us
fan,wait
dar,according to
contae,county
foireann,team
meas,respect
measc,mix
leag,set
bóthar,road
labhair,speak
clois,hear
cónaí,live
ceol,music
bás,death
cur,put
nár,didn't
tosaigh,front
ceantar,area
údarás,authority
léirigh,showed
gá,need
thart,approx
minic,often
cluiche,game
anuas,down
iomlán,complete
Seán,John
cóir,correct
conradh,a contract
ionad,instead
uisce,water
díreach,just
geall,bet
oileán,island
cinn,ones
leithéid,such as
cuma,appearance
cúpla,a few
oideachas,education
beir,bring
mol,mol
aois,age
cineál,type
inis,tell
oiread,so much
líon,number
páirtí,party
ball,member
lán,full
siar,back
cúirt,court
cathair,city
máthair,mother
náisiúnta,national
sampla,example
lig,let
doras,door
uí,her
oifig,office
timpeall,around
tarraing,draw
bun,bottom
cos,foot
éagsúil,different
dún,close
cáin,tax
córas,system
istigh,inside
forbair,develop
post,post
airteagal,article
croí,heart
mórán,much
rith,run
seisean,he said
seas,stand
barr,top
dáil,distribution
siúd,those
tréimhse,period
imeacht,departure
sásta,happy
breá,fine
amuigh,out
cúis,cause
réir,according to
deis,opportunity
áirithe,certain
áitiúil,local
saothar,work
coiste,committee
aimsir,weather
maidin,morning
toradh,result
inniu,today
suigh,sit down
breis,more
each,horse
fuil,blood
tosach,beginning
tuairim,opinion
béarla,English
láthair,present
ealaín,art
comhlacht,body
domhan,world
coinnigh,keep
tit,fell
dán,a poem
caoi,how
mura,unless
meán,average
